%entailment_judgment	sentence_A	sentence_B	relatedness_score	pair_ID
NEUTRAL	( ( A ( young girl ) ) ( is dancing ) )	( ( A ( young girl ) ) ( is ( standing ( on ( one leg ) ) ) ) )	2.7	6592
NEUTRAL	( ( A man ) ( is ( ( falling off ) ( ( a surfboard ) ( in ( the water ) ) ) ) ) )	( ( A surfer ) ( is ( riding ( the wave ) ) ) )	3.5	7464
ENTAILMENT	( ( A man ) ( is ( walking ( in ( the rain ) ) ) ) )	( It ( is ( raining ( on ( a ( walking man ) ) ) ) ) )	4.9	3670
NEUTRAL	( ( A ( white dog ) ) ( is ( ( approaching ( a ( golden dog ) ) ) ( on ( pebbly beach ) ) ) ) )	( ( Two dogs ) ( are ( playing ( on ( a ( rocky beach ) ) ) ) ) )	2.9	9036
ENTAILMENT	( ( ( ( A man ) and ) ( a woman ) ) ( are ( ( walking together ) ( through ( the woods ) ) ) ) )	( ( ( ( A man ) and ) ( a woman ) ) ( are ( walking ( through ( a ( wooded area ) ) ) ) ) )	4.6	1192
NEUTRAL	( ( A woman ) ( is ( slicing ( a carrot ) ) ) )	( ( A potato ) ( is ( being ( sliced ( by ( a woman ) ) ) ) ) )	3	1170
NEUTRAL	( ( ( ( ( A ( little boy ) ) , ) ( who ( looks fearful ) ) ) , ) ( ( is ( on ( a ( climbing wall ) ) ) ) . ) )	( ( A boy ) ( ( ( is ( ( climbing up ) ( ( a wall ) ( artificially ( built ( for climbing ) ) ) ) ) ) and ) ( is ( attached ( to ( a rope ) ) ) ) ) )	3.5	619
NEUTRAL	( ( A dog ) ( is ( ( herding ( ( a pack ) ( of ( white sheep ) ) ) ) ( on ( a ( dusty farm ) ) ) ) ) )	( ( A dog ) ( is ( ( scattering ( ( a pack ) ( of ( white sheep ) ) ) ) ( on ( a ( dusty farm ) ) ) ) ) )	3.8	6396
CONTRADICTION	( ( ( A man ) ( in ( a ( red uniform ) ) ) ) ( is ( making ( ( a jump ) ( in ( a ( dirt ( bike race ) ) ) ) ) ) ) )	( There ( is ( ( no man ) ( in ( ( a ( red uniform ) ) ( making ( ( a jump ) ( in ( a ( dirt ( bike race ) ) ) ) ) ) ) ) ) ) )	3.4	6971
NEUTRAL	( ( ( Two men ) ( in ( a race ) ) ) ( are ( flipping ( ( the tires ) ( of ( a tractor ) ) ) ) ) )	( ( Two men ) ( are ( competing ( in ( a ( tire ( rolling race ) ) ) ) ) ) )	3.7	4411
ENTAILMENT	( ( A girl ) ( ( ( is ( wearing ( white clothes ) ) ) and ) ( is dancing ) ) )	( ( ( A girl ) ( in white ) ) ( is dancing ) )	4.9	218
CONTRADICTION	( There ( is ( ( no woman ) ( being ( kissed ( by ( a man ) ) ) ) ) ) )	( ( A woman ) ( is ( being ( kissed ( by ( a man ) ) ) ) ) )	4.2	913
ENTAILMENT	( ( The woman ) ( is ( measuring ( the ( other woman ) ) ) ) )	( ( A woman ) ( is ( being ( measured ( by ( another woman ) ) ) ) ) )	4.9	1333
ENTAILMENT	( ( A ( ( ( black and ) white ) dog ) ) ( is ( ( carrying ( a ( huge stick ) ) ) ( on ( the ( green grass ) ) ) ) ) )	( ( ( A ( ( ( black and ) white ) dog ) ) ( with ( a ( large branch ) ) ) ) ( is ( running ( in ( the field ) ) ) ) )	4.5	9713
NEUTRAL	( ( A man ) ( is ( playing ( a trumpet ) ) ) )	( ( The man ) ( is ( playing ( a guitar ) ) ) )	2.2	2485
NEUTRAL	( ( A cat ) ( is ( jumping ( high ( into ( ( the air ) ( in ( the country ) ) ) ) ) ) ) )	( ( A dog ) ( is ( jumping ( in ( ( the shade ) ( of ( some trees ) ) ) ) ) ) )	1.6	9453
ENTAILMENT	( ( One man ) ( is ( doing ( floor exercises ) ) ) )	( ( A man ) ( is ( doing exercises ) ) )	4.3	3598
NEUTRAL	( ( ( The man ) ( dressed ( in ( ( ( leather chaps ) and ) ( a ( purple shirt ) ) ) ) ) ) ( is ( standing ( in ( front ( of ( someone lookers ) ) ) ) ) ) )	( ( A man ) ( ( ( is ( wearing ( ( ( a ( purple shirt ) ) and ) ( black ( leather chaps ) ) ) ) ) and ) ( is ( posing ( for ( the camera ) ) ) ) ) )	3.3	9401
NEUTRAL	( ( A girl ) ( ( ( is ( standing ( in ( a group ) ) ) ) and ) ( is ( wearing ( ( ( a ( black shirt ) ) and ) ( pink beads ) ) ) ) ) )	( ( A girl ) ( has ( ( colored patches ) ( on ( the cheeks ) ) ) ) )	2.4	8212
ENTAILMENT	( ( A hole ) ( is ( being ( burrowed ( by ( the badger ) ) ) ) ) )	( ( A badger ) ( is ( ( shrewdly digging ) ( the earth ) ) ) )	4.5	1584
