,word1,word2,prediction
0,abandon,frost,-1.0124136311933398
1,abandon,railroad,-0.9587898291647434
2,abortion,religion,-0.799574688076973
3,abstract,candle,-1.0033352333121002
4,abstract,frog,-1.0109814330935478
5,abstract,moon,-1.0115255694836378
6,abstract,rally,-1.1000714302062988
7,abuse,abuse,0.0
8,abuse,disorder,-0.6867896616458893
9,accommodate,adjust,-0.6226698458194733
10,accommodation,accommodation,0.0
11,accompany,walking,-0.9302554056048393
12,account,explanation,-0.723858505487442
13,account,invoice,-0.9207811951637268
14,act,improvement,-0.88860222697258
15,action,adjustment,-0.8914915174245834
16,action,entrance,-1.02722791954875
17,activity,solo,-0.9557595141232014
18,activity,variation,-0.805028960108757
19,actor,amateur,-0.7278561890125275
20,ad,track,-1.0139230350032449
21,add,increased,-0.7958191931247711
22,add,string,-0.9312891438603401
23,addition,segment,-0.8349004834890366
24,admitting,confess,-0.5728997588157654
25,adult,dentist,-0.8408107459545135
26,advance,advance,0.0
27,advance,string,-1.012063424102962
28,advice,recommendation,-0.5643339455127716
29,advised,murder,-1.010883872397244
30,aerial,clown,-0.9604620598256588
31,africa,territory,-0.8901960626244545
32,age,history,-0.8167495280504227
33,agency,police,-0.7286961376667023
34,aim,intending,-0.7306602001190186
35,air,cold,-0.6955185532569885
36,air,plasma,-0.9034886732697487
37,air,satellite,-0.7613985240459442
38,aircraft,fleet,-0.4965153932571411
39,aircraft,flight,-0.47717589139938354
40,aircraft,yacht,-0.7263829112052917
41,airplane,plane,-0.26787513494491577
42,ale,bitter,-0.7700386792421341
43,alley,street,-0.6626079082489014
44,aluminum,component,-0.7909087240695953
45,aluminum,imperative,-1.0196497328579426
46,american,lobster,-0.9495432712137699
47,ammunition,intolerable,-0.9634716957807541
48,amount,number,-0.730361670255661
49,amounted,make,-0.962855376303196
50,amusement,athletics,-0.9114746153354645
51,amusement,procedure,-1.0822498127818108
52,anatomy,palm,-1.0350929200649261
53,ancient,city,-0.7693420499563217
54,angel,asphalt,-1.0022488369140774
55,angel,pod,-0.9878550171852112
56,angrier,stormy,-0.976193418726325
57,animal,asia,-0.9606724567711353
58,animal,flora,-0.7662102431058884
59,animal,giraffe,-0.7396045625209808
60,animal,mural,-0.8852766156196594
61,animal,wild,-0.5750589072704315
62,animal,worm,-0.7924409061670303
63,animal,zoo,-0.5663515329360962
64,anniversary,marriage,-0.8330051600933075
65,answering,counter,-0.8950161561369896
66,anxiety,insecurities,-0.608898252248764
67,apartment,staircase,-0.7117691338062286
68,appliance,dryer,-0.7394914627075195
69,appreciate,see,-0.7065746486186981
70,approach,avenue,-0.9535100646317005
71,approach,merit,-0.960525706410408
